a    40.13    40.617    40.12    39.89    40.13    40.081    40.12    39.701    39.431    38.692    38.089    38.596    39.751    39.461    38.992    38.449    37.973    36.952    37.188    36.877    37.099    38.548    37.729    38.06    37.672    36.942    37.39    36.718    37.615    38.518    38.022    38.431    38.247    37.954    38.568    38.237    38.907    39.032    39.391    40.384    40.005    40.782    40.569    40.89    41.026    41.18    41.035    41.512    41.084    40.831    41.045    40.374    40.579    39.501    39.711    39.958    39.731    40.649    40.422    40.95    41.035    41.035    41.026    39.948    39.673    39.569    40.064    40.66    40.493    40.338    40.983    40.864    41.361    41.184    41.41    42.442    41.946    41.975    42.278    42.033    41.888    42.091    41.8    41.625    41.536    41.41    40.913    41.108    40.893    40.319    40.766    40.873    40.533    40.533    40.736    41.42    41.536    40.844    40.746    40.983    40.973    41.546    41.293    41.527    41.244    41.42    40.993    41.527    40.687    40.142
aa    34.711    34.283    34.26    34.349    34.453    34.453    34.518    34.388    34.584    32.578    32.822    33.671    34.628    35.087    35.218    34.408    32.557    32.6    33.275    33.868    34.671    34.933    34.326    35.02    34.671    34.408    34.8    34.082    35    36.176    35.825    37.243    36.154    34.144    34.709    33.731    34.144    34.496    34.367    34.581    34.909    34.451    33.842    34.344    32.726    32.97    32.271    32.616    33.122    31.832    31.377    31.592    29.892    29.449    29.649    29.628    29.605    28.997    28.494    28.974    28.278    28.301    28.367    28.56    28.301    28.101    27.712    28.278    28.189    28.367    28.668    29.15    29.305    29.828    28.821    28.689    28.997    29.172    29.107    29.349    29.367    29.628    29.494    29.605    28.776    28.843    29.349    29.408    29.672    29.283    30.875    30.566    30.15    29.892    29.979    30.216    29.848    29.628    29.806    29.828    29.605    29.302    28.598    28.58    28.428    28.296    27.899    27.964    27.729    27.332
aaba    50.88    51.15    50.02    50.65    50.86    50.53    51.22    50.51    50.17    49.13    49.21    48.59    50.23    49.72    48.8    48.3    47.51    46.23    46.47    47.63    48.18    48.89    48.95    49.44    47.99    46.46    43.73    43.99    44.69    44.7    44.04    43.54    42.94    42.57    43.07    42.96    43.92    44.42    43.53    43.65    44.37    44.11    43.53    43.38    44.43    44.45    44.28    44.11    42.62    43.99    44.16    43.44    42.98    42.67    42.5    42.52    42.87    43.51    43.78    44.67    44.98    45.03    44.72    44.42    44.2    44.47    45.1    44.95    44.435    44.13    44.15    43.67    43.61    45.17    45.63    45.18    44.77    45.53    45.73    45.78    44.45    44.65    44.49    43.97    43.69    44.52    44.36    44.34    43.28    42.56    42.51    42.04    41.3    41.66    43.87    44.09    43.6    43.84    44.395    44.95    44.75    44.36    40.98    42.79    43.67    43.49    42.85    43.38    43.07    42.94
aac    29.5    29.6    29.5    29.35    29.76    29.89    30.96    30.92    30.21    29.73    29.38    28.64    29.37    30.13    29.27    29.73    29.65    28.7    30.13    29.06    28.96    29.07    27.89    28.3    27.72    26.62    26.27    25.52    25.59    27.46    27.34    28.5    28.66    28.15    27.92    27.91    28.2    29.11    29.36    29.45    29.38    30.39    32.1    33.26    37.33    36.61    35.99    34.27    30.73    32.66    32.1    29.3    26.2    25.8    24.65    26.13    27.74    28.79    29.54    29.77    30.19    30.71    28.8    28.14    27.97    28.08    29.27    29.86    30.58    30.73    30.99    30.59    32.32    31.54    31.86    32.1    31.16    31.11    32.02    31.93    31.62    33    33.11    33.25    33.04    32.36    31.41    31.75    31.31    34.66    34.43    34.21    32    31.02    30.98    31.68    32.79    33.6    34.19    36.38    37.01    37.65    35.98    35.69    37.95    39.35    38.31    38.73    38.55    38.86
aal    49.295    49.422    48.811    49.997    50.512    51.377    51.932    52.135    52.408    52.379    51.563    51.534    52.164    50.571    48.198    48.994    48.032    48.032    48.422    51.28    52.173    54.041    54.137    53.903    51.221    49.211    50.783    47.714    47.363    46.176    48.081    47.546    46.899    45.326    46.806    46.357    46.64    47.136    46.766    48.032    48.489    49.699    49.981    50.186    48.442    48.072    46.66    47.058    47.507    47.683    47.146    46.748    46.679    45.529    46.162    47.917    47.946    48.919    52.3    52.728    53.761    54.317    52.991    52.532    50.663    49.932    51.297    52.251    51.411    49.134    47.897    46.835    46.26    47.477    46.601    46.493    46.552    46.192    46.513    46.99    46.941    48.47    50.03    50.069    50.117    51.346    50.527    49.864    47.613    47.126    48.209    47.779    45.887    45.916    47.888    47.868    48.463    47.683    47.331    47.643    47.507    47.829    46.706    42.032    41.454    41.592    40.566    41.231    40.966    41.357
aamc    451    440.92    448.11    451    442    436.65    471.75    465.74    465.3    356.5    339.99    335.99    336    334.05    340    310.12    327.18    340.87    328    330.01    342.85    312.26    321.81    214.28    205.32    231.35    300.01    269.68    269.99    240.11    223.81    239.68    220.4    190.75    172.01    160    156.33    168.45    170.4    185    195.29    183.51    177    173.63    181.75    173.53    187.25    195.85    199.5    203    215    211.99    208    188.3    177.05    193    203    203.65    203.36    195.25    206.5    202    203    254.04    236.43    226    210.07    212    204.22    206    202.5    199    193.55    192.08    191    187.05    185.13    202.97    212    232.33    259.95    255.04    247    239    233.75    228    236.31    232.98    222.04    231.95    227.4    223.83    221.28    217.99    215.85    216.79    231.55    224    225.01    216.5    220    216.57    227.35    204.65    197.85    192    181.85    182.6    177.02    173.99
aame    3.6881    3.7175    3.8254    3.9039    3.9039    3.9235    3.9235    3.9235    3.9235    3.9235    3.9234    3.9235    3.7701    3.8058    3.8647    3.8647    3.8451    3.8647    3.8647    3.8743    3.7605    3.8743    3.7567    3.8743    3.8451    3.7862    3.7763    3.7666    3.6782    3.7273    3.6488    3.6979    3.8058    3.8353    3.8353    3.8255    3.7959    3.8156    3.8255    3.8058    3.7664    3.7664    3.7664    3.7959    3.7959    3.7959    3.7935    3.8255    3.8255    3.8255    3.8255    3.8156    3.8255    3.8255    3.8255    3.7761    3.7761    3.8156    3.8255    3.8453    3.8453    3.8453    3.8453    3.8453    3.8747    3.9733    3.9733    3.9536    3.865    3.865    3.8945    3.9438    3.9438    3.9438    3.9438    3.8848    3.9438    3.9339    3.9438    3.8255    3.8156    3.9339    3.9438    3.8453    3.9339    3.9339    3.8564    3.9142    3.9339    3.9338    3.9241    3.9044    3.9142    3.9044    3.855    3.9339    3.8453    3.9339    3.9536    3.9635    3.9635    3.9438    3.9635    3.9733    3.8747    3.9241    3.9142    3.9536    3.9536    3.865
aan    28.333    28.936    29.788    30.027    30.124    30.709    30.431    30.282    30.332    30.212    29.085    29.968    30.451    30.085    30.292    29.987    29.708    28.916    29.323    29.363    30.679    31.868    32.075    32.491    32.204    31.998    32.085    31.363    31.63    31.056    31.204    30.927    31.898    31.433    30.828    30.689    31.145    31.056    30.61    30.55    30.51    30.441    30.056    29.559    29.423    29.393    29.529    29.453    28.836    28.233    27.787    27.81    27.64    27.8    28.038    28.306    28.336    28.246    27.93    28.009    27.959    27.989    27.79    28.79    27.84    27.452    27.491    27.88    28.068    27.283    27.62    28.019    27.84    28.256    28.552    28.513    28.671    28.721    28.93    28.276    27.999    28.226    28.296    28.979    29.118    32.518    33.35    34.412    34.106    33.709    34.372    34.461    33.968    33.808    34.283    34.85    35.165    34.8    34.8    34.452    35.205    35.861    35.931    35.284    35.692    35.592    35.096    35.472    34.85    34.73
aaoi    10.64    10.43    10.8    10.75    10.63    10.94    11.01    11.22    10.79    10.65    10.25    9.85    9.96    10.11    9.7    9.25    8.8    8.38    8.59    8.6    8.72    8.98    9.2    9.25    9.41    9.09    9.2    8.94    8.71    9.02    9.15    9.37    9.6    9.85    10.2    10.21    10.2    10.15    10.25    10.17    10.21    10.22    10.06    10.35    10.51    11.82    12.48    13.27    13.02    12.88    12.74    12.41    12    12.12    12.34    12.95    12.98    12.73    12.85    13.27    13.78    13.8    13.95    14.08    13.71    13.32    13.19    13.89    13.88    13.43    13.46    13.69    13.19    13.28    13.7    13.45    13.19    13.02    13.61    14.53    14.76    14.76    14.97    14.6    15    14.85    14.87    15.1    15.01    14.28    13.61    13.67    13.44    13.65    13.85    15.14    14.78    14.81    14.68    14.72    14.52    14.8    14.53    15.16    15.62    16.67    19.18    18.77    18.01    17.86
aaon    21.219    21.445    21.719    21.954    21.916    21.847    21.886    21.935    21.484    20.755    20.425    20.613    21.122    20.975    20.935    21.348    21.367    20.868    21.484    21.181    21.162    22.072    22.014    22.327    22.366    21.768    22.092    21.367    22.102    22.808    23.111    23.198    22.738    22.199    22.386    22.434    22.924    22.895    22.67    22.778    22.963    23.258    23.12    23.385    23.13    23.092    22.053    22.601    22.053    21.838    21.778    21.474    21.474    21.348    21.435    21.974    21.7    21.994    21.808    22.053    21.994    22.953    23.043    23.033    23.023    23.043    23.278    24.208    24.031    23.355    23.365    23.326    23.063    23.198    22.993    23.365    23.355    23.69    24.061    23.776    23.111    23.728    23.865    24.021    24.394    24.16    24.08    24.443    24.031    23.483    23.66    23.728    23.355    23.65    22.307    22.298    22.298    22.337    22.728    22.934    22.67    23.179    23.14    23.796    23.69    23.816    23.746    23.915    23.816    23.189
